"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 13.5603390647 13.5603390647 93.0403390647 93.0403390647
4 4.2220044450 4.2220044450 83.7020044450 83.7020044450
10 36.5125608722 4.2220044450 115.9925608722 83.7020044450
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 18.2213640976 18.2213640976 97.7013640976 97.7013640976
3 9.5743099803 9.5743099803 89.0543099803 89.0543099803
5 7.6044552319 7.6044552319 87.0844552319 87.0844552319
10 30.7435773077 7.6044552319 110.2235773077 87.0844552319
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 19.1171023084 19.1171023084 98.5971023084 98.5971023084
3 16.8292020814 16.8292020814 96.3092020814 96.3092020814
4 4.1334740814 4.1334740814 83.6134740814 83.6134740814
7 0.0285762356 0.0285762356 79.5085762356 79.5085762356
10 10.0109466797 0.0285762356 89.4909466797 79.5085762356
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 0.5151319379 0.5151319379 4.1651319379 4.1651319379
10 15.7125896714 0.5151319379 19.3625896714 4.1651319379
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 48.6639438567 48.6639438567 52.3139438567 52.3139438567
2 10.1641384257 10.1641384257 13.8141384257 13.8141384257
10 14.6168229076 10.1641384257 18.2668229076 13.8141384257
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 26.9760323085 26.9760323085 30.6260323085 30.6260323085
2 26.3619299988 26.3619299988 30.0119299988 30.0119299988
4 17.9499371000 17.9499371000 21.5999371000 21.5999371000
7 1.9986645138 1.9986645138 5.6486645138 5.6486645138
10 5.0938773830 1.9986645138 8.7438773830 5.6486645138
